timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751382027674,10,GET User Details,200,,Thread Group 1-9,text,true,,620,231,7,7,http://137.43.49.25:443/api/user,9,0,0
1751382027667,18,Delete Parts of Travel Plan,204,,Thread Group 1-6,,true,,393,303,7,7,http://137.43.49.25:443/api/userplans,0,0,0
1751382027679,13,Post Logout,200,,Thread Group 1-7,,true,,498,317,7,7,http://137.43.49.25:443/api/logout,13,0,0
1751382027684,10,GET User Picture,200,,Thread Group 1-9,bin,true,,9295,231,7,7,http://137.43.49.25:443/api/user/picture/user_698_istockphoto-1337144146-612x612.jpg,10,0,0
1751382027685,12,GET Travel Plans,200,,Thread Group 1-6,text,true,,932,268,7,7,http://137.43.49.25:443/api/userplans,12,0,0
1751382027641,157,Post Login,200,,Thread Group 1-12,,true,,490,234,7,7,http://137.43.49.25:443/api/login,157,0,0
1751382027799,10,GET CSRF Token,200,,Thread Group 1-12,text,true,,564,185,7,7,http://137.43.49.25:443/api/csrf-token,10,0,0
1751382027698,146,PUT Travel Plan,200,,Thread Group 1-6,text,true,,632,462,7,7,http://137.43.49.25:443/api/userplans/3748,146,0,0
1751382027641,204,Post Account,201,,Thread Group 1-11,text,true,,554,248,7,7,http://137.43.49.25:443/api/register,204,0,0
1751382027695,152,PUT User Details,200,,Thread Group 1-9,text,true,,620,310,7,7,http://137.43.49.25:443/api/user,152,0,0
1751382027809,39,Delete Account,204,,Thread Group 1-12,,true,,393,317,7,7,http://137.43.49.25:443/api/user,0,0,0
1751382027848,24,GET Museum Recommendations,200,,Thread Group 1-9,text,true,,37238,328,7,7,http://137.43.49.25:443/api/pois?poiTypeName=museum&dateTime=2025-07-13T09:30:00.000000Z&limit=1000&transitType=bus&latitude=40.728&longitude=-73.999,21,0,0
1751382027849,13,GET POI Types,200,,Thread Group 1-12,text,true,,700,130,7,7,http://137.43.49.25:443/api/poitypes,13,0,0
1751382027845,14,Post Logout,200,,Thread Group 1-6,,true,,498,317,7,7,http://137.43.49.25:443/api/logout,14,0,0
1751382027693,211,Post Login,200,,Thread Group 1-7,,true,,490,233,7,7,http://137.43.49.25:443/api/login,211,0,0
1751382027905,9,GET CSRF Token,200,,Thread Group 1-7,text,true,,564,185,7,7,http://137.43.49.25:443/api/csrf-token,9,0,0
1751382027887,30,POST Museum Travel Plan,201,,Thread Group 1-9,text,true,,634,492,7,7,http://137.43.49.25:443/api/userplans,30,0,0
1751382027887,68,GET Weather,200,,Thread Group 1-12,text,true,,18980,163,7,7,http://137.43.49.25:443/api/weather?latitude=40.728&longitude=-73.999,66,0,0
1751382027915,41,Delete Account,204,,Thread Group 1-7,,true,,393,317,7,7,http://137.43.49.25:443/api/user,0,0,0
1751382027955,7,GET Zone Busyness,200,,Thread Group 1-12,text,true,,487,185,7,7,http://137.43.49.25:443/api/zones/114?predictedHours=3&dateTime=2025-07-13T09:00:00.000000Z,7,0,0
1751382027956,24,GET POI Types,200,,Thread Group 1-7,text,true,,700,130,7,7,http://137.43.49.25:443/api/poitypes,24,0,0
1751382027846,173,Post Login,200,,Thread Group 1-11,,true,,490,234,7,7,http://137.43.49.25:443/api/login,173,0,8
1751382027917,102,GET Park Recommendations,200,,Thread Group 1-9,text,true,,245636,349,7,7,http://137.43.49.25:443/api/pois?poiTypeName=park&dateTime=2025-07-13T11:00:00.779042Z&limit=1000&transitType=walk&latitude=40.69913810666333&longitude=-74.03949152484903,53,0,0
1751382027888,131,Post Login,200,,Thread Group 1-6,,true,,490,233,7,7,http://137.43.49.25:443/api/login,131,0,0
1751382027981,43,GET Weather,200,,Thread Group 1-7,text,true,,18980,163,7,7,http://137.43.49.25:443/api/weather?latitude=40.728&longitude=-73.999,43,0,0
1751382028020,15,GET CSRF Token,200,,Thread Group 1-6,text,true,,564,185,7,7,http://137.43.49.25:443/api/csrf-token,14,0,0
